Timestamp,Geracao_Solar_W,Geracao_Eolica_W,Demanda_Global_W,Nivel_Bateria_Pct,O2_Pct,Temp_Int_C,Temp_Ext_C,Radiacao_mSv,Integridade_Pct
2026-01-01 00:00:00,0.0,1353.93,1897.94,94.56,21.02,22.02,-33.2,0.43,100.0
2026-01-01 00:05:00,110.69,1165.0,2105.69,86.26,21.04,21.98,-46.48,0.36,100.0
2026-01-01 00:10:00,225.01,518.59,1904.84,74.65,21.09,21.88,-51.52,0.38,100.0
2026-01-01 00:15:00,335.63,1870.11,1826.24,78.44,21.11,21.96,-50.09,0.46,100.0
2026-01-01 00:20:00,423.86,1448.29,1612.75,81.04,21.09,22.0,-48.36,0.22,100.0
2026-01-01 00:25:00,523.62,1853.37,1648.79,88.32,21.04,22.1,-52.55,0.11,100.0
2026-01-01 00:30:00,646.28,1959.44,2074.66,93.63,21.08,22.17,-49.65,0.28,100.0
2026-01-01 00:35:00,771.08,1466.42,1507.82,100.0,21.07,22.24,-30.42,0.18,100.0
2026-01-01 00:40:00,855.84,1186.93,1682.97,100.0,21.08,22.25,-35.26,0.32,100.0
2026-01-01 00:45:00,964.66,566.79,1731.86,98.0,21.11,22.22,-50.73,0.26,100.0
2026-01-01 00:50:00,1075.57,914.39,1791.78,99.98,21.14,22.1,-45.69,0.36,100.0
2026-01-01 00:55:00,1146.63,923.49,1960.13,100.0,21.1,22.16,-46.76,0.34,100.0
2026-01-01 01:00:00,1310.87,526.04,1832.02,100.0,21.11,22.06,-42.07,0.35,100.0
2026-01-01 01:05:00,1444.71,1433.0,1974.55,100.0,21.1,22.11,-48.0,0.42,100.0
2026-01-01 01:10:00,1562.54,1806.16,1980.44,100.0,21.08,22.08,-43.08,0.24,100.0
2026-01-01 01:15:00,1606.74,1000.74,2000.56,100.0,21.11,22.16,-31.65,0.27,100.0
2026-01-01 01:20:00,1720.23,1899.06,1738.11,100.0,21.15,22.18,-36.34,0.18,100.0
2026-01-01 01:25:00,1815.45,693.36,1941.07,100.0,21.15,22.1,-42.01,0.5,100.0
2026-01-01 01:30:00,1852.85,1866.55,1624.96,100.0,21.17,22.15,-57.25,0.22,100.0
2026-01-01 01:35:00,1992.49,880.39,1777.24,100.0,21.18,22.06,-35.49,0.18,100.0
2026-01-01 01:40:00,2136.31,1627.27,2089.84,100.0,21.22,22.03,-54.76,0.21,100.0
2026-01-01 01:45:00,2292.84,658.53,1706.25,100.0,21.19,21.95,-51.9,0.3,100.0
2026-01-01 01:50:00,2253.26,1401.05,2127.82,100.0,21.2,22.05,-54.6,0.47,100.0
2026-01-01 01:55:00,2324.73,1586.66,2032.14,100.0,21.18,22.13,-52.92,0.44,100.0
2026-01-01 02:00:00,2401.52,957.21,2061.81,100.0,21.19,22.03,-40.47,0.44,100.0
2026-01-01 02:05:00,2694.0,1703.69,2040.13,100.0,21.18,21.98,-44.37,0.28,100.0
2026-01-01 02:10:00,2725.1,1176.77,2129.3,100.0,21.13,22.07,-58.04,0.12,100.0
2026-01-01 02:15:00,2747.05,593.15,1702.57,100.0,21.16,21.98,-59.2,0.12,100.0
2026-01-01 02:20:00,2956.95,1621.7,1935.35,100.0,21.19,22.09,-57.16,0.43,100.0
2026-01-01 02:25:00,2874.2,1562.99,2179.34,100.0,21.21,22.05,-36.74,0.23,100.0
2026-01-01 02:30:00,2952.49,1687.9,2173.14,100.0,21.23,22.1,-55.85,0.18,100.0
2026-01-01 02:35:00,3098.01,1222.13,1785.73,100.0,21.25,22.12,-57.42,0.23,100.0
2026-01-01 02:40:00,3266.7,1829.39,1744.2,100.0,21.22,22.02,-46.33,0.25,100.0
2026-01-01 02:45:00,3236.64,1011.94,1656.31,100.0,21.18,21.97,-46.76,0.13,100.0
